CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKSUNPHARMA28-NOV-2024,1761.9000000,1765.2000000,1770.3500000,1742.3000000,1751.1000000,1751.1000000,-0.6100000,9985.0000000,4226950.0000000,12077.0000000,7414074972.5000000
FUTSTKPETRONET28-NOV-2024,329.1000000,330.9000000,331.1000000,323.8000000,327.6000000,327.6000000,-0.4500000,3277.0000000,9247500.0000000,6165.0000000,3015549150.0000000
FUTSTKPOWERGRID26-DEC-2024,340.0500000,339.4500000,343.5000000,338.3500000,340.6500000,340.6500000,0.1700000,38366.0000000,24598800.0000000,13666.0000000,8386744500.0000000
FUTSTKAUROPHARMA28-NOV-2024,1227.9000000,1226.4500000,1234.2000000,1219.0500000,1225.0500000,1225.0500000,-0.2300000,4411.0000000,2963950.0000000,5389.0000000,3633666602.5000000
FUTSTKPOLYCAB28-NOV-2024,6873.1500000,6862.0000000,7084.8000000,6838.0500000,7031.8000000,7031.8000000,2.3000000,3389.0000000,995500.0000000,7964.0000000,6981771206.2500000
FUTSTKMPHASIS26-DEC-2024,3017.8500000,3005.0500000,3059.5000000,3005.0500000,3035.7000000,3035.7000000,0.5900000,11817.0000000,1566675.0000000,5697.0000000,4756755093.7500000
FUTSTKBAJFINANCE26-DEC-2024,6661.7000000,6680.0500000,6778.3000000,6656.7000000,6738.2000000,6738.2000000,1.1400000,63273.0000000,3085250.0000000,24682.0000000,20774284006.2500000
FUTSTKMARICO26-DEC-2024,631.5000000,627.6500000,654.1000000,626.0000000,652.1500000,652.1500000,3.2600000,17433.0000000,10682400.0000000,8902.0000000,6863166120.0000000
FUTSTKBHARATFORG28-NOV-2024,1324.4000000,1323.1500000,1334.0000000,1314.0000000,1326.2000000,1326.2000000,0.1300000,3578.0000000,2916500.0000000,5833.0000000,3861697100.0000000
FUTSTKSBILIFE28-NOV-2024,1506.1000000,1517.6500000,1517.6500000,1494.9000000,1503.4500000,1503.4500000,-0.1700000,4873.0000000,3439500.0000000,9172.0000000,5169871481.2500000
FUTSTKASTRAL28-NOV-2024,1804.6500000,1809.7000000,1809.7000000,1785.0500000,1793.2500000,1793.2500000,-0.6300000,4484.0000000,1242662.0000000,3386.0000000,2230221217.3500000
FUTSTKINFY26-DEC-2024,1936.4000000,1944.9500000,1953.3000000,1923.6500000,1937.6000000,1937.6000000,0.0600000,96813.0000000,15258400.0000000,38146.0000000,29595422380.0000000
FUTSTKONGC28-NOV-2024,254.2000000,255.4000000,255.4000000,250.1500000,254.1000000,254.1000000,-0.0300000,12093.0000000,30480450.0000000,15834.0000000,7690766833.7500000
FUTSTKBAJAJFINSV28-NOV-2024,1595.7000000,1599.1000000,1609.8500000,1588.6000000,1598.8000000,1598.8000000,0.1900000,4712.0000000,4022500.0000000,8045.0000000,6433195675.0000000
FUTSTKCIPLA26-DEC-2024,1502.2000000,1498.5500000,1501.3500000,1477.5500000,1497.8000000,1497.8000000,-0.2900000,35998.0000000,3612050.0000000,11114.0000000,5377862067.5000000
FUTSTKKOTAKBANK28-NOV-2024,1782.7000000,1781.9500000,1802.3000000,1778.7500000,1784.2000000,1784.2000000,0.0800000,19470.0000000,10588400.0000000,26471.0000000,18986545660.0000000
FUTSTKZYDUSLIFE28-NOV-2024,952.4500000,957.5500000,958.4000000,948.2500000,949.6500000,949.6500000,-0.2900000,3668.0000000,3151800.0000000,3502.0000000,3000151305.0000000
FUTSTKIGL28-NOV-2024,320.7000000,321.3000000,323.5000000,317.8500000,319.7500000,319.7500000,-0.2900000,4600.0000000,7427750.0000000,5402.0000000,2376722906.2500000
FUTSTKINDHOTEL26-DEC-2024,801.0000000,802.4000000,802.4500000,791.5500000,794.4500000,794.4500000,-0.8100000,16295.0000000,7345000.0000000,7345.0000000,5851725350.0000000
FUTSTKTORNTPHARM28-NOV-2024,3227.9500000,3241.4000000,3250.3000000,3165.7500000,3221.2500000,3221.2500000,-0.2000000,2128.0000000,917750.0000000,3671.0000000,2935286575.0000000
FUTSTKMARUTI28-NOV-2024,10952.6000000,10964.7000000,11125.3000000,10882.3500000,11058.2500000,11058.2500000,0.9600000,11697.0000000,1122850.0000000,22457.0000000,12418657055.0000000
